date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:53:40	25136/25136	---M--	200	added ('OK')	image/png	etag:7f125ebd866b2dfe93feb33777a9a68201a931ec9c27dfe3067e2753.png	https://content.pancake.vn/1/s600x750/af/21/73/ff/7f125ebd866b2dfe93feb33777a9a68201a931ec9c27dfe3067e2753.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s600x750/af/21/73/ff/7f125ebd866b2dfe93feb33777a9a68201a931ec9c27dfe3067e2753.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:40	61992/61992	---M--	200	added ('OK')	image/webp	etag:49d56e0b110218b9f20ab45eaf4d8eae6a3d4f649fa5416aeaa3d3c4.png	https://content.pancake.vn/1/s550x450/fwebp/7f/68/34/ce/49d56e0b110218b9f20ab45eaf4d8eae6a3d4f649fa5416aeaa3d3c4.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s550x450/fwebp/7f/68/34/ce/49d56e0b110218b9f20ab45eaf4d8eae6a3d4f649fa5416aeaa3d3c4.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:40	279726/279726	---M--	200	added ('OK')	image/png	etag:49d56e0b110218b9f20ab45eaf4d8eae6a3d4f649fa5416aeaa3d3c4.png	https://content.pancake.vn/1/s550x450/7f/68/34/ce/49d56e0b110218b9f20ab45eaf4d8eae6a3d4f649fa5416aeaa3d3c4.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s550x450/7f/68/34/ce/49d56e0b110218b9f20ab45eaf4d8eae6a3d4f649fa5416aeaa3d3c4.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:40	4042/4042	---M--	200	added ('OK')	image/webp	etag:6cbece4e4a2680797db0acce15445b985c33934b5b60fdb1baf0df5e.png	https://content.pancake.vn/1/s500x600/fwebp/f8/bb/09/7e/6cbece4e4a2680797db0acce15445b985c33934b5b60fdb1baf0df5e.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s500x600/fwebp/f8/bb/09/7e/6cbece4e4a2680797db0acce15445b985c33934b5b60fdb1baf0df5e.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:41	23270/23270	---M--	200	added ('OK')	image/png	etag:6cbece4e4a2680797db0acce15445b985c33934b5b60fdb1baf0df5e.png	https://content.pancake.vn/1/s500x600/f8/bb/09/7e/6cbece4e4a2680797db0acce15445b985c33934b5b60fdb1baf0df5e.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s500x600/f8/bb/09/7e/6cbece4e4a2680797db0acce15445b985c33934b5b60fdb1baf0df5e.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:41	7068/7068	---M--	200	added ('OK')	image/webp	etag:7f125ebd866b2dfe93feb33777a9a68201a931ec9c27dfe3067e2753.png	https://content.pancake.vn/1/s550x650/fwebp/af/21/73/ff/7f125ebd866b2dfe93feb33777a9a68201a931ec9c27dfe3067e2753.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s550x650/fwebp/af/21/73/ff/7f125ebd866b2dfe93feb33777a9a68201a931ec9c27dfe3067e2753.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:41	25136/25136	---M--	200	added ('OK')	image/png	etag:7f125ebd866b2dfe93feb33777a9a68201a931ec9c27dfe3067e2753.png	https://content.pancake.vn/1/s550x650/af/21/73/ff/7f125ebd866b2dfe93feb33777a9a68201a931ec9c27dfe3067e2753.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s550x650/af/21/73/ff/7f125ebd866b2dfe93feb33777a9a68201a931ec9c27dfe3067e2753.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:41	75888/75888	---M--	200	added ('OK')	image/webp	etag:2e47dc48ad52b57dbdc9e6a7a999b89a77643f8bad786f33453bbb06.png	https://content.pancake.vn/1/s950x650/fwebp/f0/72/17/67/2e47dc48ad52b57dbdc9e6a7a999b89a77643f8bad786f33453bbb06.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s950x650/fwebp/f0/72/17/67/2e47dc48ad52b57dbdc9e6a7a999b89a77643f8bad786f33453bbb06.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:41	117567/117567	---M--	200	added ('OK')	image/png	etag:2e47dc48ad52b57dbdc9e6a7a999b89a77643f8bad786f33453bbb06.png	https://content.pancake.vn/1/s950x650/f0/72/17/67/2e47dc48ad52b57dbdc9e6a7a999b89a77643f8bad786f33453bbb06.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s950x650/f0/72/17/67/2e47dc48ad52b57dbdc9e6a7a999b89a77643f8bad786f33453bbb06.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:42	25258/25258	---M--	200	added ('OK')	image/webp	etag:24a870ae4c653cd908e6568ec287ae995ae94427dff2cfe1324ea195.jpg	https://content.pancake.vn/1/s700x800/fwebp/1c/fc/6e/22/24a870ae4c653cd908e6568ec287ae995ae94427dff2cfe1324ea195.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s700x800/fwebp/1c/fc/6e/22/24a870ae4c653cd908e6568ec287ae995ae94427dff2cfe1324ea195.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:42	22268/22268	---M--	200	added ('OK')	image/webp	etag:fc1bc9c34153508198212a16694200608910d10036890ebf0949bbeb.jpg	https://content.pancake.vn/1/s700x900/fwebp/83/d2/5c/f5/fc1bc9c34153508198212a16694200608910d10036890ebf0949bbeb.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s700x900/fwebp/83/d2/5c/f5/fc1bc9c34153508198212a16694200608910d10036890ebf0949bbeb.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:42	66602/66602	---M--	200	added ('OK')	image/jpeg	etag:fc1bc9c34153508198212a16694200608910d10036890ebf0949bbeb.jpg	https://content.pancake.vn/1/s700x900/83/d2/5c/f5/fc1bc9c34153508198212a16694200608910d10036890ebf0949bbeb.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s700x900/83/d2/5c/f5/fc1bc9c34153508198212a16694200608910d10036890ebf0949bbeb.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:42	16492/16492	---M--	200	added ('OK')	image/webp	etag:7067585642e6d75772a6963b9bd1a8eea91d6cda6a1b37f48ae7924b.jpg	https://content.pancake.vn/1/s550x650/fwebp/e1/32/f8/d9/7067585642e6d75772a6963b9bd1a8eea91d6cda6a1b37f48ae7924b.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s550x650/fwebp/e1/32/f8/d9/7067585642e6d75772a6963b9bd1a8eea91d6cda6a1b37f48ae7924b.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:43	50544/50544	---M--	200	added ('OK')	image/jpeg	etag:7067585642e6d75772a6963b9bd1a8eea91d6cda6a1b37f48ae7924b.jpg	https://content.pancake.vn/1/s550x650/e1/32/f8/d9/7067585642e6d75772a6963b9bd1a8eea91d6cda6a1b37f48ae7924b.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s550x650/e1/32/f8/d9/7067585642e6d75772a6963b9bd1a8eea91d6cda6a1b37f48ae7924b.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:43	17432/17432	---M--	200	added ('OK')	image/webp	etag:7067585642e6d75772a6963b9bd1a8eea91d6cda6a1b37f48ae7924b.jpg	https://content.pancake.vn/1/s500x600/fwebp/e1/32/f8/d9/7067585642e6d75772a6963b9bd1a8eea91d6cda6a1b37f48ae7924b.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s500x600/fwebp/e1/32/f8/d9/7067585642e6d75772a6963b9bd1a8eea91d6cda6a1b37f48ae7924b.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
